University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Instituto Tecnológico de San Luis Potosí,Providencia,Mexico,Junior Executive,Devolved global access,2016-11-04,2016-12-05,7848.56,MXN
Guangdong Peizheng College ,Zhangcun,China,Pharmacist,Open-source full-range synergy,2019-04-08,2019-05-04,6935.03,CNY
Bicol University,Besao,Philippines,Computer Systems Analyst I,Exclusive 6th generation groupware,2017-12-05,2018-01-16,7700.93,PHP
Université d'Antsiranana,Fandriana,Madagascar,Internal Auditor,Self-enabling optimal protocol,2018-12-27,2019-03-02,8451.49,MGA
Khazar University,Neftçala,Azerbaijan,Staff Scientist,Team-oriented maximized solution,2017-07-11,2017-12-08,6453.1,AZN
China Pharmaceutical University Nanjing,Qukuhu,China,VP Quality Control,Centralized stable definition,2018-12-29,2019-05-03,4547.57,CNY
University of Da Nang,Thanh Xuân,Vietnam,Web Developer III,Advanced client-driven array,2018-11-27,2019-04-29,5372.24,VND
East Ukrainian National University,Chynadiyovo,Ukraine,Financial Advisor,Fundamental maximized functionalities,2018-06-16,2018-11-09,111.65,UAH
Wolkite University,Gīdolē,Ethiopia,Nurse,Grass-roots impactful monitoring,2016-04-06,2016-10-09,6850.29,ETB
Zhengda Software College,Miaoquan,China,Project Manager,Multi-channelled transitional application,2016-06-22,2016-08-13,7700.42,CNY
Tomas Bata University in Zlin,Jablonec nad Jizerou,Czech Republic,Teacher,Vision-oriented systematic focus group,2017-04-05,2017-10-03,2025.28,CZK
Vietnam National University Hanoi,Phú Mỹ,Vietnam,Recruiting Manager,Down-sized even-keeled hardware,2018-04-17,2018-06-23,3199.07,VND
"DeVry Institute of Technology, Chicago",Vienna,United States,Recruiting Manager,Public-key bi-directional parallelism,2018-07-29,2018-08-29,1003.34,USD
Universidade Regional Integrada do Alto Uruguai e das Missões,Auriflama,Brazil,Recruiting Manager,Multi-lateral solution-oriented structure,2018-08-29,2018-10-05,1488.42,BRL
Arab European University,Mahīn,Syria,Accountant IV,Reactive multi-tasking productivity,2018-04-08,2018-10-04,1341.39,SYP
University of Split,Otok,Croatia,Senior Quality Engineer,Vision-oriented 6th generation projection,2019-05-27,2019-08-19,2748.72,HRK
Aarhus School of Business,Frederiksberg,Denmark,Financial Advisor,Proactive motivating encoding,2016-04-13,2016-05-12,1761.15,DKK
Masaryk University,Hulín,Czech Republic,Accounting Assistant II,Customizable value-added strategy,2017-01-18,2017-08-04,6727.65,CZK
Université Épiscopale d'Haiti,Fort Liberté,Haiti,Financial Analyst,Compatible discrete process improvement,2019-07-27,2019-11-16,2643.4,HTG
"Institute of Teachers Education, Temenggong Ibrahim",Melaka,Malaysia,Product Engineer,Cross-group 24/7 encryption,2019-06-20,2019-11-24,4218.63,MYR
Universitas Bunda Mulia Jakarta,Pandansari,Indonesia,VP Quality Control,Decentralized needs-based challenge,2017-02-08,2017-04-05,1131.14,IDR
Instituto Politécnico de Lisboa,Abades,Portugal,Structural Engineer,Synchronised uniform pricing structure,2018-07-24,2018-08-01,8354.7,EUR
Escuela Politécnica del Ejercito,Nueva Loja,Ecuador,Database Administrator IV,Down-sized heuristic interface,2019-06-13,2019-12-24,428.78,USD
Manila Central University,Bamban,Philippines,Cost Accountant,Stand-alone methodical Graphic Interface,2018-06-05,2018-06-25,4589.67,PHP
Université de Versailles Saint-Quentin-en-Yvelines,Saint-Pierre-Montlimart,France,Geologist I,Exclusive contextually-based Graphic Interface,2017-11-11,2018-05-26,504.33,EUR
Bournemouth University,Weston,United Kingdom,Safety Technician III,Proactive zero administration support,2019-11-20,2019-12-21,5813.74,GBP
Universidade Federal do Rio Grande do Sul,Conselheiro Lafaiete,Brazil,Help Desk Technician,Innovative composite functionalities,2018-12-01,2019-05-16,1864.0,BRL
Universidad Central Dominicana de Estudio Profesionales,Constanza,Dominican Republic,Director of Sales,Fully-configurable dedicated leverage,2019-09-21,2020-01-22,9485.29,DOP
Universidade Veiga de Almeida,Videira,Brazil,Physical Therapy Assistant,Seamless 24 hour workforce,2016-04-05,2016-10-09,3820.31,BRL
Meikai University,Iwade,Japan,Technical Writer,Distributed intermediate interface,2017-07-24,2017-11-14,4519.96,JPY
University of West Bohemia,Heřmanova Huť,Czech Republic,VP Marketing,Balanced explicit conglomeration,2018-09-16,2018-11-18,4372.73,CZK
Syrian International Private University for Science & Technology,Sinjār,Syria,VP Accounting,Sharable fresh-thinking migration,2016-09-19,2016-11-19,2337.64,SYP
Universidad Nacional Abierta,San Fernando de Atabapo,Venezuela,Paralegal,Sharable 3rd generation capability,2017-10-30,2018-05-14,4762.67,VEF
Technological Education Institute of Mesologgi,Áno Kopanákion,Greece,Senior Cost Accountant,Streamlined encompassing capacity,2016-04-04,2016-04-13,5976.34,EUR
University of Gdansk,Wojsławice,Poland,Quality Engineer,Synergized asynchronous flexibility,2017-04-22,2017-08-17,3018.8,PLN
Universitas Andalas,Ketangi,Indonesia,VP Accounting,Total solution-oriented firmware,2017-08-24,2018-03-20,2910.43,IDR
Shanghai Sanda University,Shuikou,China,Computer Systems Analyst II,Assimilated context-sensitive data-warehouse,2016-08-13,2017-02-10,3058.56,CNY
Universitas Islam Sultan Agung,Karanganyar,Indonesia,Community Outreach Specialist,Self-enabling needs-based artificial intelligence,2018-11-05,2018-11-10,8263.45,IDR
Harbin Normal University,Bahui,China,Research Assistant IV,Future-proofed next generation protocol,2019-07-03,2019-10-10,3834.04,CNY
Emeishan Buddhist College,Sancha,China,Junior Executive,Stand-alone solution-oriented hub,2019-05-31,2019-12-09,8891.74,CNY
William and Catherine Booth College,Pilot Butte,Canada,Accounting Assistant I,Reactive background methodology,2016-06-22,2016-06-25,6669.45,CAD
Universidad San Pablo,Laramate,Peru,Compensation Analyst,Visionary 3rd generation moderator,2017-01-04,2017-03-13,5872.69,PEN
South West University Yucai College,Tangban,China,Desktop Support Technician,Multi-channelled eco-centric core,2017-12-19,2018-02-20,4185.7,CNY
Uganda Christian University,Kalangala,Uganda,Mechanical Systems Engineer,Vision-oriented didactic info-mediaries,2018-07-24,2018-12-16,5297.41,UGX
Universidade da Beira Interior,Praia da Barra,Portugal,Product Engineer,Enhanced actuating challenge,2018-10-10,2019-04-16,4686.38,EUR
Gulf University for Science and Technology,Ḩawallī,Kuwait,Food Chemist,Ameliorated didactic software,2016-04-10,2016-09-14,2402.95,KWD
Physical Education Academy in Katowice,Lublin,Poland,Operator,Integrated exuding orchestration,2018-09-14,2018-09-27,6021.22,PLN
Abai State University,Shemonaīkha,Kazakhstan,Food Chemist,Adaptive optimal alliance,2018-01-27,2018-05-14,1899.85,KZT
University of International Business and Economics,Luodian,China,Legal Assistant,Persevering upward-trending framework,2016-06-29,2017-01-04,2732.94,CNY
Odessa National Maritime Academy,Brovary,Ukraine,Mechanical Systems Engineer,Self-enabling bottom-line standardization,2019-01-03,2019-07-15,2025.04,UAH
Sultan Salahuddin Abdul Aziz Shah Polytechnic,Lemland,Aland Islands,Civil Engineer,Organic zero defect archive,2017-05-26,2017-07-09,390.81,EUR
Technological Education Institute of Heraklion,Mirsíni,Greece,Librarian,Front-line incremental synergy,2019-07-27,2019-07-31,4189.64,EUR
Ecole Supérieure Internationale d'Administration des Entreprises,Blois,France,Project Manager,Grass-roots real-time analyzer,2018-06-23,2018-10-03,4481.52,EUR
Bethlehem University,Qīrah,Palestinian Territory,Actuary,Polarised tertiary superstructure,2018-05-12,2018-05-16,1412.96,ILS
Universitas Riau,Krajan,Indonesia,Account Representative IV,Exclusive multimedia array,2019-07-10,2019-08-19,2265.11,IDR
Tyumen State Agricultural Academy,Opechenskiy Posad,Russia,Environmental Specialist,Adaptive 24 hour solution,2019-11-19,2020-03-10,7750.58,RUB
Chongqing Normal University Foreign Trade and Business College,Zuocun,China,Assistant Media Planner,De-engineered directional attitude,2016-05-26,2016-07-20,4851.61,CNY
Shanghai Business School,Yeping,China,Occupational Therapist,Digitized context-sensitive algorithm,2018-09-30,2019-01-11,4103.74,CNY
Mzuzu University,Mzuzu,Malawi,Food Chemist,Team-oriented bi-directional extranet,2018-03-08,2018-04-09,5190.36,MWK
University of the Philippines Diliman,Bolinao,Philippines,Director of Sales,Business-focused next generation policy,2017-07-18,2018-01-30,8821.94,PHP
University of Benghazi,Al Jaghbūb,Libya,Teacher,Profound demand-driven attitude,2017-04-20,2017-05-07,5822.62,LYD
National University,Santa Ana,Philippines,General Manager,Sharable uniform project,2017-09-24,2017-09-27,7289.47,PHP
Universitas Katolik Widya Manadala,Margasana,Indonesia,Engineer IV,Re-contextualized intangible pricing structure,2018-08-12,2018-10-01,5842.41,IDR
Donetsk State Medical University,Brovary,Ukraine,Senior Financial Analyst,Business-focused dynamic forecast,2017-08-07,2017-09-03,4934.83,UAH
Capilano College,Blackfalds,Canada,Desktop Support Technician,Multi-lateral dynamic software,2018-07-25,2018-09-23,2390.81,CAD
Guangxi Normal University,Jiaowei,China,Data Coordinator,Organized attitude-oriented access,2016-03-19,2016-04-08,6140.5,CNY
South China University,Shaheying,China,Programmer II,Profit-focused national infrastructure,2018-01-14,2018-03-21,3029.27,CNY
Southeast University,Shatian,China,Account Executive,Enhanced real-time alliance,2019-06-09,2020-01-04,9021.65,CNY
Academy of Arts,Lukovë,Albania,Senior Sales Associate,Realigned object-oriented Graphic Interface,2016-12-24,2017-05-18,6647.64,ALL
Inner Mongolia University,Da’anshan,China,Chemical Engineer,Multi-tiered reciprocal knowledge base,2018-06-04,2018-09-02,5489.04,CNY
Universitas Tanjungpura,Pulosari,Indonesia,Office Assistant II,Object-based upward-trending forecast,2016-06-17,2016-07-15,8729.51,IDR
Bangladesh University of Engineering and Technology,Kishorganj,Bangladesh,Account Representative I,Seamless contextually-based artificial intelligence,2018-08-13,2019-03-18,8673.52,BDT
South China Normal University,Longchiqiao,China,Web Designer II,User-centric cohesive installation,2018-04-17,2018-04-27,8220.96,CNY
City University Athens,Páchni,Greece,Editor,Reduced logistical ability,2017-03-19,2017-10-17,2311.83,EUR
State University of New York (SUNY),Sacramento,United States,Dental Hygienist,Visionary zero defect projection,2019-03-14,2019-05-06,3908.05,USD
Khazar University,Xankandi,Azerbaijan,Cost Accountant,Open-source secondary projection,2017-04-24,2017-11-15,7103.89,AZN
South Carelian Polytechnic,Vantaa,Finland,Pharmacist,Enterprise-wide background implementation,2017-02-15,2017-04-30,8909.54,EUR
Ivanovo State Textile Academy,Vyritsa,Russia,Quality Control Specialist,Open-architected secondary budgetary management,2016-05-06,2016-07-24,8765.8,RUB
Misamis University,Bacag,Philippines,Desktop Support Technician,Reactive 4th generation extranet,2017-12-20,2018-05-22,7321.43,PHP
Liceo de Cagayan University,Tamiso,Philippines,GIS Technical Architect,Function-based needs-based infrastructure,2018-12-01,2019-05-27,2846.82,PHP
Pedagogical University of Czestochowa,Wojcieszków,Poland,Occupational Therapist,Re-contextualized actuating function,2016-08-21,2017-01-17,8409.72,PLN
Universidade Federal do Rio Grande do Sul,Lago da Pedra,Brazil,Accountant III,Open-source 6th generation protocol,2019-10-31,2019-12-06,5644.52,BRL
Universitat Pompeu Fabra,Cartagena,Spain,Food Chemist,Fundamental asymmetric instruction set,2019-06-21,2020-01-14,9722.83,EUR
Universidade Federal Rural do Semi-Árido,Aracati,Brazil,Analyst Programmer,Front-line next generation structure,2016-03-06,2016-08-26,311.45,BRL
